elapsed_min,cpu_pct,overflows,msgs_jsonl,msgs_udp,udp_crc_bad,rss_mb,load
5,45.4,0,92,91,0,41,1.74
10,45.4,0,137,133,0,41,1.78
15,45.2,0,174,170,0,41,1.30
20,45.3,0,188,184,0,41,1.44
25,45.4,0,233,227,0,41,1.34
30,45.3,0,298,288,0,41,1.34
35,45.3,0,344,333,0,41,1.16
40,45.3,0,392,373,0,41,1.45
45,45.3,0,455,428,0,41,1.83
50,45.3,0,532,505,0,41,2.03
55,45.3,0,615,589,0,41,1.26
60,45.4,0,677,651,0,41,1.76
65,45.3,0,705,678,0,41,2.44
70,45.3,0,726,698,0,41,1.77
75,45.3,0,759,729,0,41,1.22
80,45.3,0,773,738,0,41,1.16
85,45.3,0,784,748,0,41,1.71
90,45.3,0,802,766,0,41,1.79
95,45.3,0,825,787,0,41,1.91
100,45.3,0,888,841,0,41,2.11
105,45.3,0,945,894,0,41,1.53
110,45.2,0,987,934,0,41,1.57
115,45.3,0,1071,1017,0,41,1.94
120,45.4,0,1141,1084,0,41,1.91
125,45.3,0,1191,1135,0,41,1.98
130,45.4,0,1269,1213,0,41,1.50
135,45.3,0,1323,1267,0,41,1.56
140,45.3,0,1384,1325,0,41,2.04
145,45.3,0,1423,1363,0,41,1.61
150,45.3,0,1446,1387,0,41,2.01
155,45.4,0,1576,1513,0,41,2.06
160,45.3,0,1632,1572,0,41,1.78
165,45.3,0,1716,1650,0,41,1.82
170,45.4,0,1898,1833,0,41,2.19
175,45.4,0,2015,1944,0,41,1.72
180,45.4,0,2070,1994,0,41,1.92
185,45.4,0,2204,2124,0,41,1.79
190,45.4,0,2364,2280,0,41,0.99
195,45.3,0,2437,2348,0,41,1.10
200,45.3,0,2505,2415,0,41,1.47
205,45.2,0,2585,2492,0,41,1.19
210,45.3,0,2642,2544,0,41,1.26
215,45.3,0,2687,2583,0,41,1.15
220,45.3,0,2730,2619,0,41,1.25
225,45.3,0,2753,2641,0,41,1.54
230,45.3,0,2808,2691,0,41,1.41
235,45.4,0,2883,2767,0,41,1.71
240,45.3,0,2934,2815,0,41,1.97
245,45.3,0,3015,2894,0,41,1.81
250,45.3,0,3055,2934,0,41,1.96
255,45.4,0,3139,3014,0,41,2.11
260,45.3,0,3252,3124,0,41,1.64
265,45.4,0,3356,3229,0,41,0.93
